country,Great Recession,Other years,difference
Ireland,-4.34,6.09,-10.43
Finland,-3.14,2.26,-5.4
Germany,-1.94,1.81,-3.75
Italy,-2.71,0.82,-3.53
Spain,-1.25,2.25,-3.5
Austria,-1.01,1.98,-2.99
France,-1.03,1.77,-2.8
Netherlands,-0.57,1.83,-2.4
Belgium,-0.39,1.99,-2.38
Portugal,-1.03,1.16,-2.19
Average of 10 countries,-1.74,2.2,-3.94
